scraped_at_utc,venue,section,category,serving_type,beer_name,style,brewery,abv,ibu,rating,servings_prices,beer_url,brewery_url,beer_id,venue_url
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 1,Draft,BITTER END,Bitter - Best,Cerveza Rondadora,5%,N/A,N/A,,https://untappd.com/b/cerveza-rondadora-bitter-end/6766014,https://untappd.com/w/cerveza-rondadora/134078,6766014,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 2,Draft,LAGER,Lager - Other,Cervezas Antiga,4.5%,N/A,3.76,,https://untappd.com/b/cervezas-antiga-lager/6700543,https://untappd.com/w/cervezas-antiga/218754,6700543,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 3,Draft,Black Flag,Stout - Irish Dry,Pyrene Brewing Co.,5%,N/A,3.79,,https://untappd.com/b/pyrene-brewing-co-black-flag/5060610,https://untappd.com/w/pyrene-brewing-co/435560,5060610,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 4,Draft,Brown XVII Aniversaro,Brown Ale - Other,Cervezas Yakka,6.4%,N/A,3.82,,https://untappd.com/b/cervezas-yakka-brown-xvii-aniversaro/6735356,https://untappd.com/w/cervezas-yakka/35142,6735356,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 5,Draft,Doble IPA,IPA - Imperial / Double,Cervezas Antiga,8.5%,N/A,3.6,,https://untappd.com/b/cervezas-antiga-doble-ipa/4243293,https://untappd.com/w/cervezas-antiga/218754,4243293,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 6,Draft,Abenaki,IPA - New England / Hazy,GaragArt,6.8%,58,3.66,,https://untappd.com/b/garagart-abenaki/2556100,https://untappd.com/w/garagart/147689,2556100,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 9,Draft,Zendra,Rauchbier,Zeta Beer,7.8%,30,3.55,,https://untappd.com/b/zeta-beer-zendra/1361763,https://untappd.com/w/zeta-beer/142574,1361763,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 10,Draft,2020 Barley Wine,Barleywine - Other,Cerveza SanFrutos,12.2%,30,3.73,,https://untappd.com/b/cerveza-sanfrutos-2020-barley-wine/4555136,https://untappd.com/w/cerveza-sanfrutos/97815,4555136,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 11,Draft,Menos Es Más,IPA - Other,Cervezas Antiga,2.5%,N/A,N/A,,https://untappd.com/b/cervezas-antiga-menos-es-mas/6759261,https://untappd.com/w/cervezas-antiga/218754,6759261,https://untappd.com/v/bukowski-craft-beer-bar/11235945
2026-07-01T22:01:01Z,Bukowski Craft Beer Bar,All Menus,GRIFO 12,Draft,Hazy Docks,IPA - New England / Hazy,Cerveza Tyris,5.5%,N/A,3.76,,https://untappd.com/b/cerveza-tyris-hazy-docks/6752997,https://untappd.com/w/cerveza-tyris/27690,6752997,https://untappd.com/v/bukowski-craft-beer-bar/11235945
